node_id	sp_name
430	H_0425_Diptera_Cecidomyiidae
431	H_0426_Diptera_Cecidomyiidae
432	H_0427_Orthoptera_Tettigoniidae
433	H_0428_Diptera_Cecidomyiidae
434	H_0430_Diptera_Diptera
435	H_0431_Hemiptera_Aphididae
436	H_0432_Diptera_Cecidomyiidae
437	H_0433_Hemiptera_Cicadellidae
438	H_0434_Lepidoptera_Geometridae
439	H_0435_Diptera_Cecidomyiidae
440	H_0438_Diptera_Dicranomyia
441	H_0439_Diptera_Diptera
442	H_0440_Coleoptera_Coleoptera
443	H_0441_Hemiptera_Hemiptera
444	H_0442_Hemiptera_Aleyrodidae
445	H_0443_Diptera_Pseudolycoriella
446	H_0444_Hemiptera_Cicadellidae
447	H_0445_Lepidoptera_Noctuidae
448	H_0446_Diptera_Sciaridae
449	H_0448_Diptera_Boletina
450	H_0449_Diptera_Cecidomyiidae
451	H_0450_Diptera_Cecidomyiidae
452	H_0451_Diptera_Anopheles
453	H_0452_Diptera_Cecidomyiidae
454	H_0453_Diptera_Aedes.albopictus
455	H_0455_Hemiptera_Rhopalidae
456	H_0456_Hemiptera_Eysarcoris
457	H_0457_Hemiptera_Empoascanara
458	H_0458_Diptera_Diptera
459	H_0459_Hymenoptera_Eulophidae
460	H_0460_Hemiptera_Hemiptera
461	H_0461_Diptera_Diptera
462	H_0462_Hymenoptera_Formicidae
463	H_0464_Diptera_Cecidomyiidae
464	H_0465_Diptera_Forcipomyia
465	H_0466_Hemiptera_Aphididae
466	H_0467_Hymenoptera_Formicidae
467	H_0468_Hemiptera_Aphididae
468	H_0469_Lepidoptera_Lepidoptera
469	H_0470_Diptera_Cecidomyiidae
470	H_0471_Lepidoptera_Lepidoptera
471	H_0472_Diptera_Diptera
472	H_0473_Hemiptera_Cicadellidae
473	H_0474_Coleoptera_Coleoptera
474	H_0475_Diptera_Cecidomyiidae
475	H_0476_Diptera_Diptera
476	H_0477_Diptera_Cecidomyiidae
477	H_0478_Diptera_Diptera
478	H_0479_Hemiptera_Hyperomyzus.carduellinus
479	H_0480_Diptera_Diptera
480	H_0481_Diptera_Drosophilidae
481	H_0483_Coleoptera_Tychius
482	H_0484_Hymenoptera_Ceraphronidae
483	H_0485_Diptera_Phoridae
484	H_0486_Hemiptera_Cicadellidae
485	H_0487_Collembola_Homidia
486	H_0488_Odonata_Ischnura
487	H_0489_Coleoptera_Sericoderus
488	H_0490_Hymenoptera_Hymenoptera
489	H_0491_Hemiptera_Peirates
490	H_0492_Diptera_Diptera
491	H_0493_Diptera_Cecidomyiidae
492	H_0494_Ephemeroptera_Baetis
493	H_0495_Coleoptera_Staphylinidae
494	H_0497_Lepidoptera_Ostrinia
495	H_0498_Orthoptera_Trigonidium
496	H_0499_Hymenoptera_Formicidae
497	H_0500_Diptera_Cecidomyiidae
498	H_0501_Diptera_Diptera
499	H_0502_Hemiptera_Bemisia
500	H_0503_Hemiptera_Aphididae
501	H_0504_Hemiptera_Ossoides.lineatus
502	H_0505_Lepidoptera_Crambidae
503	H_0506_Diptera_Diptera
504	H_0507_Lepidoptera_Crambidae
505	H_0508_Diptera_Cecidomyiidae
506	H_0509_Diptera_Diptera
507	H_0510_Diptera_Chrysotus
508	H_0511_Hemiptera_Dictyopharidae
509	H_0512_Diptera_Sciaridae
510	H_0513_Diptera_Cecidomyiidae
511	H_0514_Coleoptera_Coleoptera
512	H_0515_Diptera_Culicoides
513	H_0516_Hemiptera_Greenidea
514	H_0517_Odonata_Pantala.flavescens
515	H_0518_Diptera_Diptera
516	H_0519_Diptera_Diptera
517	H_0520_Diptera_Cystiphora
518	H_0521_Diptera_Cecidomyiidae
519	H_0522_Lepidoptera_Pelopidas.mathias
520	H_0524_Diptera_Diptera
521	H_0525_Lepidoptera_Lepidoptera
522	H_0526_Diptera_Bradysia
523	H_0527_Diptera_Diptera
524	H_0528_Diptera_Tipulidae
525	H_0529_Diptera_Cecidomyiidae
526	H_0530_Diptera_Diptera
527	H_0531_Hemiptera_Hemiptera
528	H_0532_Diptera_Sciaridae
529	H_0533_Hymenoptera_Formica
530	H_0534_Diptera_Cecidomyiidae
531	H_0535_Diptera_Diptera
532	H_0536_Lepidoptera_Lepidoptera
533	H_0537_Hymenoptera_Xyela
534	H_0538_Diptera_Cecidomyiidae
535	H_0539_Coleoptera_Staphylinidae
536	H_0540_Diptera_Pseudolycoriella
537	H_0541_Diptera_Cecidomyiidae
538	H_0543_Hymenoptera_Braconidae
