hexa_id	family	diet	Oxyopes_sertatus	Tetragnatha_praedonia	Tetragnatha_caudicula	Ebrechtella_tricuspidata	Nephila_clavata	Neoscona_mellotteei	Clubiona_sp.	Diaea_subdola	Xysticus_sp.	Larinia_argiopiformis	Hypsosinga_pygmaea	Mendoza_elongata	Pardosa_sp.	Dolomedes_sp.	Thomisus_labefactus	Sitticus_sp.	Salticidae_sp.1
H_0287_Diptera_Mycetophilidae	Mycetophilidae	detritivorous	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0289_Diptera_Diptera	Unidentified	unidentified	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0292_Diptera_Ephydridae	Ephydridae	variable	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0294_Diptera_Cecidomyiidae	Cecidomyiidae	variable	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0295_Diptera_Diptera	Unidentified	unidentified	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0307_Diptera_Cecidomyiidae	Cecidomyiidae	variable	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0314_Hemiptera_Delphacidae	Delphacidae	herbivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0315_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0316_Hemiptera_Delphacidae	Delphacidae	herbivorous	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0321_Diptera_Bradysia	Sciaridae	detritivorous	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0323_Diptera_Dohrniphora	Phoridae	variable	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0324_Diptera_Drosophilidae	Drosophilidae	variable	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0332_Lepidoptera_Lepidoptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0333_Diptera_Diptera	Unidentified	unidentified	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0334_Diptera_Diptera	Unidentified	unidentified	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0338_Diptera_Diptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0344_Diptera_Dolichopodidae	Dolichopodidae	variable	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0345_Coleoptera_Carabidae	Carabidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0348_Diptera_Drosophilidae	Drosophilidae	variable	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0349_Diptera_Mycetophilidae	Mycetophilidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0350_Hemiptera_Aphididae	Aphididae	herbivorous	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0351_Diptera_Cecidomyiidae	Cecidomyiidae	variable	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0353_Diptera_Cecidomyiidae	Cecidomyiidae	variable	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
H_0360_Diptera_Cecidomyiidae	Cecidomyiidae	variable	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0364_Diptera_Diptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0367_Diptera_Diptera	Unidentified	unidentified	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0370_Hymenoptera_Hymenoptera	Unidentified	unidentified	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0371_Hymenoptera_Tenthredinidae	Tenthredinidae	herbivorous	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0372_Diptera_Diptera	Unidentified	unidentified	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0
H_0373_Diptera_Diptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0384_Diptera_Diptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0386_Diptera_Cecidomyiidae	Cecidomyiidae	variable	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0387_Diptera_Chironomus	Chironomidae	detritivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0393_Diptera_Diptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0394_Hymenoptera_Eulophidae	Eulophidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0397_Neuroptera_Neuroptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0400_Hemiptera_Aphididae	Aphididae	herbivorous	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0405_Hemiptera_Bemisia.tabaci	Aleyrodidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0406_Diptera_Diptera	Unidentified	unidentified	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0409_Hemiptera_Melanaphis	Aphididae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0415_Hymenoptera_Hymenoptera	Unidentified	unidentified	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0416_Hymenoptera_Halictidae	Halictidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0417_Coleoptera_Endomychidae	Endomychidae	herbivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0420_Diptera_Culicidae	Culicidae	predatory/parasitic	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0426_Diptera_Cecidomyiidae	Cecidomyiidae	variable	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0430_Diptera_Diptera	Unidentified	unidentified	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0431_Hemiptera_Aphididae	Aphididae	herbivorous	3	1	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0
H_0432_Diptera_Cecidomyiidae	Cecidomyiidae	variable	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0434_Lepidoptera_Geometridae	Geometridae	herbivorous	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0435_Diptera_Cecidomyiidae	Cecidomyiidae	variable	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0443_Diptera_Pseudolycoriella	Sciaridae	detritivorous	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0451_Diptera_Anopheles	Culicidae	predatory/parasitic	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0452_Diptera_Cecidomyiidae	Cecidomyiidae	variable	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0453_Diptera_Aedes.albopictus	Culicidae	predatory/parasitic	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0457_Hemiptera_Empoascanara	Cicadellidae	herbivorous	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0461_Diptera_Diptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0462_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0465_Diptera_Forcipomyia	Ceratopogonidae	predatory/parasitic	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0468_Hemiptera_Aphididae	Aphididae	herbivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0473_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0476_Diptera_Diptera	Unidentified	unidentified	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
H_0477_Diptera_Cecidomyiidae	Cecidomyiidae	variable	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0479_Hemiptera_Hyperomyzus.carduellinus	Aphididae	herbivorous	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0480_Diptera_Diptera	Unidentified	unidentified	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0487_Collembola_Homidia	Entomobryidae	detritivorous	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0492_Diptera_Diptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0498_Orthoptera_Trigonidium	Gryllidae	variable	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0503_Hemiptera_Aphididae	Aphididae	herbivorous	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0507_Lepidoptera_Crambidae	Crambidae	herbivorous	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0508_Diptera_Cecidomyiidae	Cecidomyiidae	variable	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0509_Diptera_Diptera	Unidentified	unidentified	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
H_0515_Diptera_Culicoides	Ceratopogonidae	predatory/parasitic	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0521_Diptera_Cecidomyiidae	Cecidomyiidae	variable	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0526_Diptera_Bradysia	Sciaridae	detritivorous	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0529_Diptera_Cecidomyiidae	Cecidomyiidae	variable	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0549_Diptera_Mycetophilidae	Mycetophilidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0550_Diptera_Cricotopus	Chironomidae	detritivorous	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
